Shuffle,,,,,,,,,,,,,,
Algorithm,Silhouette_Score_Euclidean,Davies-Bouldin,Calinski-Herabasz,WCSS_Euclidean,Mutual_Info,Accuracy,Route_Sim_Min,Route_Sim_Avg,Route_Sim_Max,Route_Sim_Variance,,,Mean,Variance
ld_06,0.0698,3.1367,36.3500,1095.6314,1.1414,0.2990,3.9864,13.3948,25.2800,38.0754,,Accuracy,0.3841,0.010641683
ld_09,0.0646,3.0358,31.8931,1188.2133,1.0762,0.2667,5.7825,15.9796,30.6952,53.8917,,Route_Average,15.7062,2.249498425
ld_12,0.1316,1.8027,57.3187,778.4521,1.2538,0.5159,5.7984,15.0065,35.7879,82.1244,,Route_Variance,66.9616,1371.19692
ld_15,0.1357,1.9861,47.3965,898.9875,1.2458,0.4482,3.4356,16.4292,51.0545,155.1620,,,,
ld_19,0.0306,4.0189,25.6454,1367.9060,1.0861,0.3031,7.1129,15.4615,24.0769,27.5060,,,,
ld_22,-0.0615,3.4468,16.3388,1753.7622,0.9476,0.2662,7.3703,18.9896,30.7718,47.5947,,,,
ld_25,0.0713,2.0205,45.7984,928.6047,1.2520,0.5092,5.5819,14.8767,29.0233,68.8277,,,,
ld_28,0.1057,2.2726,40.0018,1024.2387,1.2606,0.4646,5.0786,15.5115,28.2301,62.5109,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Distance Nearest EI,,,,,,,,,,,,,,
Algorithm,Silhouette_Score_Euclidean,Davies-Bouldin,Calinski-Herabasz,WCSS_Euclidean,Mutual_Info,Accuracy,Route_Sim_Min,Route_Sim_Avg,Route_Sim_Max,Route_Sim_Variance,,,Mean,Variance
ld_07,0.1396,1.4186,42.2924,975.1681,1.2264,0.2872,4.3480,11.8972,23.7972,34.9746,,Accuracy,0.3949,0.010729783
ld_10,0.1683,1.9710,59.8189,750.4864,1.2765,0.2718,8.2365,12.7358,19.9784,11.4018,,Route_Average,13.6137,0.794763589
ld_13,0.1549,1.8131,61.0258,738.7653,1.2866,0.5128,5.9831,14.0318,26.6495,46.8866,,Route_Variance,48.2442,724.172275
ld_16,0.1718,1.9672,66.5420,689.5430,1.2880,0.4513,4.1654,14.2448,29.8528,59.5339,,,,
ld_20,0.1291,1.3948,50.3496,857.1923,1.1697,0.3026,5.0786,13.0724,23.9130,28.9464,,,,
ld_23,0.0892,1.9285,54.3466,808.6601,1.1931,0.3128,4.9984,14.1716,23.5569,31.4442,,,,
ld_26,0.1586,1.6967,53.4233,819.3763,1.2838,0.5026,5.9589,14.7624,35.0693,103.2184,,,,
ld_29,0.1769,1.5890,66.5248,689.6863,1.3526,0.5179,3.4672,13.9933,35.1626,69.5474,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Z-Score,,,,,,,,,,,,,,
Algorithm,Silhouette_Score_Euclidean,Davies-Bouldin,Calinski-Herabasz,WCSS_Euclidean,Mutual_Info,Accuracy,Route_Sim_Min,Route_Sim_Avg,Route_Sim_Max,Route_Sim_Variance,,,Mean,Variance
ld_08,0.1592,2.8471,66.5632,689.3670,1.2300,0.3436,2.8630,10.5668,16.5361,15.2239,,Accuracy,0.3872,0.003662064
ld_11,0.1333,2.3958,59.6814,751.8456,1.2607,0.3231,4.9331,11.8935,20.9189,23.5099,,Route_Average,12.9186,1.335294643
ld_14,0.1403,2.4901,64.2273,709.3763,1.2529,0.4154,5.7922,13.1816,23.0630,39.0777,,Route_Variance,41.4029,508.3041812
ld_17,0.1624,2.3560,65.1313,701.4964,1.3076,0.4615,3.0180,13.5024,33.9405,68.2276,,,,
ld_21,0.1441,3.1940,48.6374,879.8111,1.1935,0.3487,8.4244,12.7279,21.5365,19.6231,,,,
ld_24,0.0769,2.5876,38.3496,1045.5880,1.1731,0.3077,4.7835,13.7466,21.8071,30.0080,,,,
ld_27,0.0677,1.9717,42.8728,965.5942,1.2136,0.4205,5.5682,14.6322,33.9209,80.8268,,,,
ld_30,0.1643,1.9138,70.2063,660.3183,1.2985,0.4769,5.2596,13.0980,31.8346,54.7264,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
